variable,description,table,name
C16002_001,Total:,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_tot
C16002_002,English only,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_eng
C16002_003,Spanish:,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_sp
C16002_004,Limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_slim
C16002_005,Not a limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_snot
C16002_006,Other Indo-European languages:,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_indeu
C16002_007,Limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_inlim
C16002_008,Not a limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_inno
C16002_009,Asian and Pacific Island languages:,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_as
C16002_010,Limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_asli
C16002_011,Not a limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_asno
C16002_012,Other languages:,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_oth
C16002_013,Limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_limo
C16002_014,Not a limited English speaking household,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,hhlang_noli
B25063_001,Total:,GROSS RENT,grent_tot
B25063_002,With cash rent:,GROSS RENT,grent_wi
B25063_003,Less than $100,GROSS RENT,grent<100
B25063_004,$100 to $149,GROSS RENT,grent_100
B25063_005,$150 to $199,GROSS RENT,grent_150
B25063_006,$200 to $249,GROSS RENT,grent_200
B25063_007,$250 to $299,GROSS RENT,grent_250
B25063_008,$300 to $349,GROSS RENT,grent_300
B25063_009,$350 to $399,GROSS RENT,grent_350
B25063_010,$400 to $449,GROSS RENT,grent_400
B25063_011,$450 to $499,GROSS RENT,grent_450
B25063_012,$500 to $549,GROSS RENT,grent_500
B25063_013,$550 to $599,GROSS RENT,grent_550
B25063_014,$600 to $649,GROSS RENT,grent_600
B25063_015,$650 to $699,GROSS RENT,grent_650
B25063_016,$700 to $749,GROSS RENT,grent_700
B25063_017,$750 to $799,GROSS RENT,grent_750
B25063_018,$800 to $899,GROSS RENT,grent_800
B25063_019,$900 to $999,GROSS RENT,grent_900
B25063_020,"$1,000 to $1,249",GROSS RENT,grent_1k
B25063_021,"$1,250 to $1,499",GROSS RENT,grent_1250
B25063_022,"$1,500 to $1,999",GROSS RENT,grent_1500
B25063_023,"$2,000 to $2,499",GROSS RENT,grent_2k
B25063_024,"$2,500 to $2,999",GROSS RENT,grent_2500
B25063_025,"$3,000 to $3,499",GROSS RENT,grent_3k
B25063_026,"$3,500 or more",GROSS RENT,grent_3500
B25063_027,No cash rent,GROSS RENT,grent_none
B08015_001,"Aggregate number of vehicles (car, truck, or van) used in commuting:","AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX",agve_com
B08015_002,Male ,"AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX",agve_male
B08015_003,Female ,"AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX",agve_fem
